word_segment,times,co,fr_left,fr_right,score
道刚才,18,377.6932515337424,3.0860486123130384,3.4613201402110088,4034.444611000954
与自己,8,488.6031746031746,3.0,2.75,4030.9761904761904
摇头道,6,794.9440459110474,2.2516291673878226,2.2516291673878226,4030.234278470674
自己不,22,259.0350631136045,3.913977073182751,3.9705730958116834,4025.5945111342967
道妹妹,37,305.27603305785124,3.259751595698744,4.042932839717324,4023.2196442873274
里自然,12,511.61218836565104,2.418295834054489,3.2516291673878226,4023.011931426806
便留下,6,601.6026058631921,2.5849625007211556,2.5849625007211556,4019.9273403479287
来求亲,5,896.5631067961165,1.9219280948873625,2.3219280948873617,4000.9835489985276
件大事,11,691.0244897959184,1.672933031873368,3.459431618637298,3999.233353772782
眼见的,11,594.0385964912281,2.0494520727893946,3.2776134368191165,3990.3423858836863
儿女之,5,892.231884057971,2.3219280948873617,1.9219280948873625,3981.6551260565057
宋妈妈,5,1076.2937062937062,1.9219280948873625,1.9219280948873625,3975.62187420351
道自然,19,388.82526315789465,2.8581184630979704,3.576617644908667,3974.7261749946083
那紫鹃,5,735.8247011952193,2.3219280948873617,2.3219280948873617,3967.088560056061
银子送,6,982.4042553191487,2.2516291673878226,1.7924812503605778,3964.986585839384
打扮的,10,433.54929577464793,2.9219280948873623,3.1219280948873624,3954.858098017331
新媳妇,8,851.1152073732719,1.5487949406953985,3.0,3954.608781385916
又可以,6,679.0147058823529,2.2516291673878226,2.5849625007211556,3952.121551810357
生气的,6,679.0147058823529,2.2516291673878226,2.5849625007211556,3952.121551810357
的越发,5,732.9047619047618,2.3219280948873617,2.3219280948873617,3951.3461451352023
且说薛,7,1061.4482758620688,2.235926350629033,1.6644977792004616,3950.386152013289
李纨便,7,500.520325203252,2.8073549220576046,2.8073549220576046,3944.721637868315
陪笑问,7,938.884531590414,2.5216406363433186,1.6644977792004616,3940.747408006079
身上又,6,909.8128078817733,1.9182958340544896,2.2516291673878226,3929.7461377846766
半日才,7,1106.88698630137,2.128085278891395,1.6644977792004616,3920.807578917832
女尼道,5,727.1338582677165,2.3219280948873617,2.3219280948873617,3920.2331833624844
有丫鬟,6,789.2820512820513,2.5849625007211556,1.9182958340544891,3913.8309004188877
坐一坐,12,453.5101289134439,3.0220552088742,2.8553885422075336,3913.4032179933397
并不为,7,552.4974358974359,2.8073549220576046,2.5216406363433186,3911.2068376429625
咱们家,80,195.8817446639268,4.728903914934559,4.2217622390330485,3910.6434781472553
是一对,8,473.5692307692308,3.0,2.75,3906.946153846154
命鸳鸯,5,875.3175355450238,2.3219280948873617,1.9219280948873625,3906.173512292402
心中又,10,352.4656488549618,3.3219280948873617,3.3219280948873617,3889.531137358672
磕头说,6,582.0126050420167,2.5849625007211556,2.5849625007211556,3889.026345021473
妹妹说,6,666.7581227436823,2.2516291673878226,2.5849625007211556,3880.7836176621554
几个钱,29,225.04487394957985,4.004364184708143,4.306256857196538,3880.6334623920866
会意便,8,513.0333333333333,2.75,2.75,3879.8145833333333
意思还,5,1049.3863636363637,1.9219280948873625,1.9219280948873625,3876.2313273484224
原不曾,6,665.9567307692307,2.5849625007211556,2.2516291673878226,3876.1192142755417
着一条,6,665.1572629051619,2.2516291673878226,2.5849625007211556,3871.466009936675
姑娘说,34,216.26697892271665,4.113362385992581,4.345719283930526,3865.8843270055395
他的嘴,10,577.1625,2.521928094887362,2.646439344671016,3852.05740302753
东西就,10,570.0370370370372,2.3709505944546687,2.8464393446710154,3847.0471764417543
只不过,19,218.55680119581461,4.142664355548851,4.247927513443588,3846.1053025912784
送东西,16,406.81057268722464,3.25,2.9056390622295662,3841.6452455159356
姊妹不,7,603.5686274509803,2.5216406363433186,2.5216406363433186,3837.8946289773526
人的嘴,5,859.0325581395349,1.9219280948873625,2.3219280948873617,3833.5005167148684
有李纨,5,1037.5955056179776,1.9219280948873625,1.9219280948873625,3832.6781663669794
也愿意,9,456.02962962962965,2.6416041678685933,3.169925001442312,3818.649424859514
紫鹃便,7,599.6493506493507,2.5216406363433186,2.5216406363433186,3812.973235282695
妹妹不,10,392.21066043746015,2.9219280948873623,3.3219280948873617,3806.967293471161
小娼妇,5,851.1152073732719,1.9219280948873625,2.3219280948873617,3798.168714717496
除了你,5,851.1152073732719,2.3219280948873617,1.9219280948873625,3798.168714717496
难为了,5,1291.5524475524476,1.9219280948873625,1.521928094887362,3777.837875055576
喝一口,9,375.89959294436915,3.169925001442312,3.169925001442312,3777.198684833903
这几天,24,216.11935641150657,4.136842188131012,4.220175521464346,3773.0549780383794
几个人,35,194.25489076539355,4.045964532348005,4.800432302535623,3772.89207919065
打发你,9,433.54929577464793,2.94770277922009,2.94770277922009,3767.0888795522474
要起身,12,549.6785714285714,2.2212518360044657,3.084962500721156,3766.6606578893243
认得的,7,591.9615384615385,2.5216406363433186,2.5216406363433186,3764.088963035481
作诗的,5,843.3424657534247,1.9219280948873625,2.3219280948873617,3763.4822424369713
几句话,33,326.6257234726688,2.6578823768686517,4.3319766949849114,3760.7308595639765
尤氏便,7,530.7241379310344,2.8073549220576046,2.5216406363433186,3757.0706075880667
你素日,13,332.77837837837836,3.180832987205441,3.546593564294939,3754.11341939875
不大懂,5,841.0382513661203,2.3219280948873617,1.9219280948873625,3753.1995040696575
外书房,18,349.79545454545456,2.7448425317532443,3.905764584655453,3750.0551905977236
连忙跑,5,1014.7912087912088,1.9219280948873625,1.9219280948873625,3748.4434813918806
了且别,5,839.5090909090909,2.3219280948873617,1.9219280948873625,3746.3755049713486
如今这,25,234.0836501901141,4.403856189774723,3.623465189601647,3735.3242117100854
命紫鹃,6,735.8247011952193,2.2516291673878226,2.251629167387823,3730.5090200452337
到尤氏,5,1009.2459016393443,1.9219280948873625,1.9219280948873625,3727.9601836793568
平儿道,76,171.86541287099618,4.582646594035854,4.731940575762793,3726.869057880005
不告诉,19,429.51627906976745,3.0761031709967237,2.8205898566665466,3726.6659543678256
鸳鸯也,6,803.0086956521741,1.7924812503605778,2.5849625007211556,3720.7382340652307
那一位,12,412.87332339791357,2.9182958340544896,3.084962500721156,3717.0296690897344
可怜我,8,450.4682926829268,2.75,3.0,3716.363414634146
人答应,27,744.7258064516128,2.4263406353754373,2.05287071093348,3709.452152616168
名儿也,6,918.1043910521956,1.7924812503605778,2.251629167387823,3705.4721365590954
来交给,6,916.5856079404466,1.7924812503605778,2.2516291673878226,3699.3423232645378
婆子回,7,738.768,2.235926350629033,2.235926350629033,3693.372097916398
湘云一,7,654.936170212766,2.235926350629033,2.5216406363433186,3692.662913097493
今儿才,11,467.5746835443038,3.0957952550009336,2.5503407095463886,3691.657673366153
娘儿们,28,334.6519122500485,2.5465346038859447,4.3248629576173565,3685.659780630794
瞧了瞧,5,824.5178571428571,1.9219280948873625,2.3219280948873617,3679.4759423825744
各处找,5,824.5178571428571,2.3219280948873617,1.9219280948873625,3679.4759423825744
道今日,43,183.45474705474706,3.9636170107583513,5.054171731446283,3675.1124494358155
喜的忙,10,527.6914285714286,2.4464393446710155,2.8464393446710163,3674.6537755373224
还不算,6,549.6785714285714,2.5849625007211556,2.5849625007211556,3672.9693258536136
头几天,6,630.3481228668942,2.251629167387823,2.5849625007211556,3668.8636931481815
吃了茶,15,281.1712168882574,3.773557262275185,3.4565647621309536,3667.4694372436475
咱们先,7,465.2191435768262,2.8073549220576046,2.8073549220576046,3666.504494643346
至厅上,8,566.1057471264368,2.1556390622295662,3.0,3660.9589855752006
为何不,5,679.0147058823529,2.3219280948873617,2.3219280948873617,3660.805987404673
事如今,15,276.48502994011983,3.5068905956085183,3.773557262275185,3658.8515037789666
姑娘不,30,216.26697892271665,4.240223928941853,3.9810760119146065,3650.727992787759
原故说,6,1061.4482758620688,1.9182958340544891,1.7924812503605778,3649.7997841414117
想的到,10,414.6654692411316,2.646439344671016,3.3219280948873617,3645.4407483735813
银子这,9,552.6023936170212,2.4193819456463714,2.7254805569978684,3643.848276482343
明白的,13,360.1854185418542,3.0269868333592878,3.3346791410515952,3635.7223675356313
着许多,7,1309.872340425532,1.6644977792004616,1.6644977792004616,3629.070555023121
呢不然,7,511.61218836565104,2.8073549220576046,2.5216406363433186,3621.7744361236773
好如今,17,276.48502994011983,3.292770193936991,3.969815782426811,3614.12690067124
呢如今,15,276.48502994011983,3.5898980954642865,3.640223928941852,3613.115481320853
连忙叫,5,977.2063492063492,1.9219280948873625,1.9219280948873625,3609.6122413403295
给他看,6,540.0350877192982,2.5849625007211556,2.5849625007211556,3608.531267505304
去不成,11,318.23496240601503,3.459431618637298,3.2776134368191165,3608.3642625565462
竟成了,7,509.3947990543736,2.8073549220576046,2.5216406363433186,3606.0772261956395
到底不,14,283.705069124424,3.6644977792004623,3.4677201004745,3605.1687202862954
